Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Іваничук,Орина,Юхимівна,female,1976-09-29,Фізик,хутір Снігурівка,"узвіз ім. К.Г. Паустовського, буд. 086, Долинська, 05269",+380 35 291-99-09,lruban@example.org
Салій,Єлисавета,Юстимівна,female,1979-10-05,Археолог,селище Луцьк,"шосе Кутова, буд. 3, Нетішин, 61386",+380 56 501-03-22,gbaranyk@example.net
Баштан,Оксенія,Панасівна,female,1942-05-01,Провізор,місто Стрий,"провулок Єнісейська, буд. 00 кв. 756, Донецьк, 03195",+380 (51) 992-21-71,mariana97@example.com
Медведенко,Емілія,Стефанівна,female,1986-04-19,Золотар,селище Кипуче,"сквер Сінна, буд. 763 кв. 491, Чугуїв, 98862",981 72 29,pievtushenko@example.net
Башполченко,Аркадій,Леонтійович,male,1951-09-21,Музикознавець,хутір Часів Яр,"площа Восьмого березня 2-й, буд. 7 кв. 511, Хоростків, 21710",749 42 74,ielysaveta12@example.com
Скиба,Олександр,Яремович,male,1939-12-26,Мікробіолог,місто Мерефа,"шосе Сурикова 2-й, буд. 2 кв. 30, Овруч, 97074",081 780 99 96,ihabelko@example.org
Яценюк,Анастасія,Альбертівна,female,1965-03-12,Фізик,хутір Кропивницький,"набережна Соляний 6-й, буд. 554, Острог, 64567",+380 (75) 762-85-91,avakulenko@example.org
Дейнеко,Дан,Юстимович,male,1959-03-26,Кінорежисер,хутір Старобільськ,"парк Ананьївська, буд. 73 кв. 255, Горлівка, 07504",076 381 63 27,xhuzii@example.com
Гресь,Мілена,Володимирівна,female,2003-04-22,Скульптор,селище Первомайський ,"шосе Гена Іоганна, буд. 21 кв. 57, Теребовля, 63178",+380 31 326-06-72,huzroksolana@example.net
Шаповал,Дарина,Леонтіївна,female,1967-05-31,Кінорежисер,хутір Гадяч,"узвіз Дігтярна, буд. 408 кв. 69, Мерефа, 32148",+380 51 260 70 84,bohuslavasamoilenko@example.com
Чалий,Венедикт,Ігнатович,male,2007-10-28,Режисер,місто Новодружеськ,"вулиця Глазунова, буд. 92, Кам'янець-Подільський, 61743",+380 06 398-92-34,iryna95@example.com
Влох,Маруся,Пилипівна,female,1980-06-23,Дипломат,місто Святогірськ,"провулок Уютна, буд. 058, Новий Розділ, 88628",+380 17 469-70-78,hbabych@example.com
Медведенко,Орина,Єлисеївна,female,1959-03-16,Льотчик,селище Кілія,"сквер Різовська, буд. 865 кв. 0, Березань , 76416",877-06-37,onysymavdieienko@example.net
Усик,Олекса,Григорійович,male,1997-02-24,Письменник,хутір Первомайськ,"провулок Панченка, буд. 560, Коростишів, 91250",010 191 83 26,aaron37@example.net
Доценко,Левко,Трохимович,male,1942-10-09,Палеонтолог,село Подільськ,"парк Наявний 5-й, буд. 7 кв. 6, Кам'янка-Дніпровська, 49872",+380 07 152 22 68,irena44@example.org
Андрієнко,Лілія,Демʼянівна,female,1952-10-21,Хореограф,селище Макіївка,"сквер Онезька, буд. 5 кв. 532, Глухів, 34148",+380 72 031-28-86,iarynateslenko@example.org
Чумак,Альбіна,Охрімівна,female,1948-09-20,Петрограф,хутір Березань ,"парк Балтський 8-й, буд. 2, Бобринець, 27226",+380 50 892-42-90,sokhrymovych@example.net
Баштан,Андрій,Юхимович,male,1946-10-27,Мірошник,селище Великі Мости,"узвіз Шилова, буд. 18, Куп'янськ, 34200",435-00-60,omelian82@example.com
Затула,Олена,Охрімівна,female,2002-10-18,Штукатур,хутір Камінь-Каширський,"провулок Листяний, буд. 33 кв. 3, Помічна, 47931",+380 54 122-58-21,vadym67@example.com
Заєць,Зиновій,Андрійович,male,2006-09-23,Секретар,місто Горохів,"вулиця Волниста, буд. 4, Біляївка, 01239",+380 (01) 839-25-11,artem82@example.org
Назаренко,Варвара,Аркадіївна,female,1947-07-07,Складальник,хутір Бурштин ,"вулиця Пересипська 6-та, буд. 0 кв. 447, Знам'янка, 13909",036 786-70-27,omelianabrahamovska@example.com
Баран,Омелян,Прохорович,male,1966-03-26,Дизайнер,село Алчевськ,"провулок Дальницька, буд. 716 кв. 5, Вовчанськ, 31336",+380 60 859-24-88,vpanchuk@example.org
Данчук,Тетяна,Леонідівна,female,2003-09-05,Гінеколог,місто Ківерці,"шосе Косовський, буд. 23 кв. 12, Бобринець, 54730",+380 (33) 933-05-85,kostiantynbebeshko@example.com
Карась,Ганна,Станіславівна,female,1970-02-23,Філолог,селище Городок,"площа Шишкіна 3-й, буд. 1, Богодухів, 13076",+380 24 756 60 27,klymenthavryliv@example.com
Каденюк,Владислав,Кирилович,male,1975-08-03,Етнограф,село Очаків,"парк Адміральський, буд. 29, Тернопіль, 17192",680-26-55,zharkoivan@example.net
Ковпак,Віра,Демʼянівна,female,1960-11-05,Біолог,місто Тлумач,"набережна Ковалевського узвіз, буд. 22 кв. 206, Мена , 09486",069 790-31-38,oksana05@example.com
Чалий,Августин,Богданович,male,1948-10-01,Футболіст,село Попасна,"набережна Тепличний 2-й, буд. 0 кв. 0, Новоазовськ, 50013",014 063 40 47,petliuraanzhela@example.org
Гавриш,Августин,Олегович,male,2003-11-18,Економіст,село Ніжин,"узвіз Університетський, буд. 3, Середина-Буда, 47326",048 959 16 90,nradchenko@example.net
Запорожець,Любов,Романівна,female,1959-09-06,Кінорежисер,місто Новодністровськ,"проспект Кутузова, буд. 9 кв. 739, Чорноморськ, 28316",001 107-10-77,emiliiadutka@example.org
Масоха,Христина,Давидівна,female,1957-02-24,Мовознавець,село Шепетівка,"провулок Крушельницької, буд. 8, Старий Крим, 09196",+380 17 024 54 62,virafesenko@example.com
Забашта,Панас,Ааронович,male,1954-11-15,Штукатур,місто Богодухів,"площа Космонавтів, буд. 147 кв. 620, Жмеринка, 82800",+380 52 809 87 15,isaienko@example.net
Колесниченко,Григорій,Опанасович,male,1952-06-03,Фермер,село Вільнянськ,"сквер Історія Футболу, буд. 8 кв. 995, Кам'янка-Дніпровська, 09990",+380 53 253 34 58,irvanetsruslan@example.com
Пилипенко,Демид,Несторович,male,1984-08-26,Модельєр,місто Обухів,"провулок Осипова, буд. 601 кв. 0, Дебальцеве, 73027",+380 12 346-58-23,zynovii03@example.net
Цюпа,Алевтин,Єфремович,male,1945-04-12,Перекладач,селище Корець,"шосе Софії Перовської, буд. 5 кв. 46, Василівка , 19411",+380 70 207-56-31,konoplenkosviatoslav@example.com
Тесленко,Оксенія,Августинівна,female,1941-10-24,Фізик,хутір Яворів,"вулиця Лінія 36-та, буд. 256, Красноград, 74005",+380 46 846 30 39,dannavasylenko@example.net
Лупій,Феофан,Станіславович,male,2007-03-01,Економіст,хутір Українськ,"сквер Шилова, буд. 978 кв. 55, Лохвиця, 51306",+380 (83) 994-03-45,piesypenko@example.org
Шморгун,Марія,Назарівна,female,2001-03-29,Антрополог,село Міусинськ,"вулиця Павла Кравцова, буд. 55, Рожище, 13095",+380 40 416-82-32,anita92@example.com
Шамрай,Ілля,Остапович,male,1941-02-14,Ветеринар,хутір Кременчук,"вулиця Соляний 7-й, буд. 264 кв. 09, Вовчанськ, 02202",+380 (64) 976-77-81,parmen45@example.net
Артимович,Оксенія,Остапівна,female,1984-02-24,Гицель,селище Немирів,"провулок Академіка Сахарова, буд. 011 кв. 99, Верхньодніпровськ, 80876",+380 (22) 872-87-71,bshcherban@example.com
Ніколюк,Ганна,Вʼячеславівна,female,1997-03-09,Стоматолог,село Нетішин,"проспект Дністровська, буд. 90, Пустомити, 96712",288-62-44,bkhorishko@example.net
Петрик,Йосип,Мартинович,male,2005-11-20,Зоолог,місто Кальміуське,"проспект Костанді 3-й, буд. 77, Хоростків, 73115",181-16-22,emiliia08@example.com
Яценюк,Соломон,Зорянович,male,1983-10-01,Журналіст,місто Пологи ,"парк Чорноморський, буд. 9, Буринь, 32859",+380 34 457-87-37,sshcherbak@example.org
Шутько,Павло,Веніяминович,male,1973-01-28,Публіцист,селище Рені,"шосе Новгородський 2-й, буд. 798 кв. 808, Заліщики, 28355",829-48-04,karasrostyslav@example.net
Назаренко,Емілія,Семенівна,female,1988-09-16,Педагог,місто Дружківка,"сквер Байдарочний, буд. 97, Кагарлик, 54130",252 12 41,panasbaklan@example.org
Парасюк,Яків,Аркадійович,male,1988-06-16,Кінокритик,село Заставна,"провулок Радіальна, буд. 2, Світловодськ, 91042",+380 30 817-47-12,babiimykhailyna@example.org
Скоробогатько,Амалія,Андріївна,female,1973-07-25,Живописець,село Севастополь,"провулок Морський 2-й, буд. 4 кв. 92, Бершадь, 52133",+380 (34) 252-83-81,havrylyshynzlatoslava@example.org
Дахно,Орися,Владиславівна,female,1961-08-10,Історик,місто Підгородне,"вулиця Деревообробний 2-й, буд. 939, Шахтарськ, 89654",219-00-49,liliia70@example.com
Бакуменко,Марко,Лукʼянович,male,1949-12-11,Фотограф,село Батурин,"провулок Василя Кандинського 2-й, буд. 74, Новодністровськ, 85323",099 446-73-70,aleksiukolha@example.net
Вдовенко,Василина,Болеславівна,female,1984-09-02,Кінолог,хутір Нетішин,"площа Промисловий, буд. 6, Борзна, 87022",+380 43 829-58-20,tetiana62@example.org
Чарниш,Ада,Вʼячеславівна,female,1964-12-22,Кушнір,селище Джанкой,"проспект Обривиста, буд. 057, Залізне, 25455",873-76-87,iushchenkozakhar@example.net
Безбородько,Петро,Симонович,male,1952-12-29,Менеджер,селище Ічня,"парк Купріна, буд. 31 кв. 66, Конотоп, 27370",031 244 76 58,isalii@example.net
Скоробогатько,Алла,Борисівна,female,1943-09-23,Пекар,хутір Комарно,"шосе Технічний, буд. 208, Каховка, 83314",+380 77 291-41-22,hshutko@example.com
Остапчук,Азар,Семенович,male,1944-02-24,Професор,селище Болград,"проспект Миколи Боровського, буд. 5, Апостолове, 12332",206 98 98,jmishchenko@example.net
Гайворонський,Стефан,Леонідович,male,1962-12-25,Антрополог,село Ірпінь,"площа Гаріна, буд. 07, Кипуче, 41748",028 87 83,ikhrystych@example.com
Конопля,Вікторія,Францівна,female,2005-10-16,Ветеринар,селище Знам'янка,"набережна Космонавта Комарова, буд. 741 кв. 9, Вуглегірськ, 08409",+380 (45) 499-03-03,avdieienkotymofii@example.net
Сич,Омелян,Климентович,male,1966-09-21,Графік,місто Ізяслав,"узвіз Студена, буд. 8 кв. 31, Енергодар, 86142",050 584-43-96,zatulaorkhyp@example.net
Александренко,Ліза,Вадимівна,female,1999-02-18,Ріелтор,село Святогірськ,"сквер Баштанна, буд. 5, Радомишль, 19952",240 09 80,rtereshchuk@example.net
Ващенко,Богуслава,Зорянівна,female,1942-03-31,Петрограф,селище Кривий Ріг,"площа Лиманна, буд. 2, Камінь-Каширський, 84746",040 852 06 69,hordiieibozhenko@example.net
Євдокименко,Дарина,Пилипівна,female,1997-04-01,Фермер,село Новогродівка,"шосе Українська, буд. 584, Святогірськ, 49805",030 312-65-64,halyna26@example.org
Корбут,Варвара,Петрівна,female,1982-05-14,Фізик,хутір Конотоп,"площа Кривобалківська, буд. 0, Нетішин, 60769",053 815 79 39,viktor05@example.org
Петренко,Лукʼян,Панасович,male,1979-05-10,Геолог,хутір Могилів-Подільський,"провулок Селищний, буд. 466, Родинське, 74672",977-28-99,spasmykhailychenko@example.net
Гуцуляк,Олена,Лесівна,female,1964-03-28,Гицель,місто Олешки,"провулок Панаса Мирного, буд. 660, Ірміно, 14479",+380 37 305 33 19,stanislav60@example.com
Овчаренко,Лілія,Германівна,female,1985-11-27,Журналіст,місто Дрогобич,"шосе Надіїі, буд. 359 кв. 1, Вугледар, 56976",058 967 20 08,iverhun@example.com
Бабариченко,Одарка,Вікторівна,female,1975-07-13,Правник,селище Новоград-Волинський,"сквер Молодіжна, буд. 739 кв. 7, Новоселиця, 61665",345 02 65,andreikooleksandr@example.com
Шинкаренко,Дмитро,Русланович,male,1994-08-20,Ґрунтознавець,хутір Подільськ,"проспект Долинська, буд. 25 кв. 55, Знам'янка, 87702",034 513 33 63,tarasenkoalevtyn@example.net
Нестайко,Ярослав,Пантелеймонович,male,1994-11-06,Пекар,село Ланівці,"площа Михайла Жванецького, буд. 786, Жмеринка, 50431",056 329 90 87,ushovkoplias@example.net
Шведченко,Михайлина,Адамівна,female,1986-11-17,Паралегал,місто Бахмач,"провулок Лиманчик 2-й Лінія 1-ша, буд. 729, Радехів, 38367",+380 25 970-48-05,lesbakumenko@example.com
Москаль,Феофан,Омелянович,male,1985-03-30,Біолог,хутір Полтава,"узвіз Грецький, буд. 335 кв. 4, Вишневе , 44769",378 24 16,rozaliiahohol-ianovska@example.org
Іванченко,Охрім,Богодарович,male,1977-01-12,Електромонтажник,місто Енергодар,"провулок Семінарська, буд. 72, Волочиськ, 19044",+380 (01) 103-52-45,ievhen87@example.net
Пустовіт,Оксенія,Вадимівна,female,1947-09-05,Бібліограф,хутір Кам'янка (Черкаська область),"площа Азовський, буд. 937 кв. 756, Підгородне, 63704",054 538-28-98,alinaievtushenko@example.org
Бабиченко,Сніжана,Орестівна,female,1975-08-28,Каскадер,хутір Корець,"провулок Велика Арнаутська, буд. 6 кв. 1, Богодухів, 36136",+380 (58) 371-83-74,hanna31@example.com
Засенко,Марʼяна,Романівна,female,2008-08-10,Композитор,місто Хуст,"набережна Сонячна, буд. 44 кв. 973, Бобровиця, 72491",425 20 91,babiukpanas@example.com
Абраменко,Пріска,Омелянівна,female,1951-02-28,Реабілітолог,хутір Броди,"проспект Олександра Тимошенка, буд. 22 кв. 3, Новгород-Сіверський, 17976",084 491 50 22,violettashtokalo@example.org
Царенко,Прохір,Євгенійович,male,1961-01-02,Редактор,селище Кремінна,"сквер Марії Демченко, буд. 48, Моспине, 92856",+380 37 897-45-74,oleksandr16@example.com
Вернигора,Ірена,Амвросійовна,female,2002-04-08,Швачка,село Хорол ,"площа Палія Семена, буд. 3 кв. 313, Волноваха, 62790",+380 36 985-75-79,skopenkoielysei@example.com
Доценко,Оксана,Петрівна,female,1963-07-18,Секретар,хутір Дубровиця,"узвіз Куниці, буд. 639, Іловайськ, 53581",+380 70 459 61 62,hennadiiskorobohatko@example.net
Носенко,Онисим,Панасович,male,1978-05-19,Науковець,місто Луцьк,"шосе Офіцерський 2-й, буд. 05, Славута, 44798",065 739 36 09,syrotenkomariia@example.org
Гуцуляк,Маруся,Назарівна,female,1995-08-24,Актор,селище Гадяч,"шосе Літня, буд. 11 кв. 28, Часів Яр, 60689",539-38-72,rudykstepan@example.net
Артюшенко,Феофан,Глібович,male,1968-07-01,Економіст,місто Жидачів,"шосе Велика Арнаутська, буд. 5 кв. 581, Алмазна, 02795",056 313 96 91,dsavenko@example.com
Христенко,Тимофій,Едуардович,male,1994-11-29,Науковець,селище Олександрівськ,"набережна Дмитрія Донського, буд. 02 кв. 75, Дніпро , 04923",+380 (21) 361-33-69,khomakhmara@example.org
Щорс,Панас,Панасович,male,1956-08-20,Петрограф,селище Карлівка,"набережна Інглезі, буд. 94, Бердянськ, 33419",+380 05 385-35-57,bohdanzhuravel@example.com
Корбут,Еріка,Арсенівна,female,1978-01-27,Візажист,селище Вишгород,"сквер Щукіна, буд. 72 кв. 17, Дергачі, 02918",072 779-77-96,hutsuliakmartyn@example.net
Кащенко,Соломія,Максимівна,female,1971-09-22,Диригент,селище Буринь,"узвіз Матроська Слобідка, буд. 580 кв. 0, Феодосія, 62631",+380 (58) 331-59-36,ishchakielysaveta@example.org
Єрмоленко,Амалія,Пилипівна,female,1957-01-05,Епідеміолог,селище Борзна,"парк Теплична, буд. 280, Світловодськ, 82479",+380 (20) 361-57-39,semenhavryliv@example.org
Стець,Оксана,Богданівна,female,1960-11-02,Ботанік,селище Бережани,"провулок Чубаївський, буд. 639, Українськ, 41520",931-15-05,makar12@example.org
Ткач,Емілія,Алевтинівна,female,1953-04-23,Доцент,село Шепетівка,"проспект Авіаторів, буд. 9, Решетилівка, 28666",+380 95 029-13-91,zasukhahordii@example.net
Базавлученко,Марія,Климентівна,female,1965-06-25,Стиліст,селище Приморськ (Україна),"площа Центральний аеропорт, буд. 037 кв. 35, Алушта, 77160",+380 69 993-53-21,kovaliukleon@example.net
Тригуб,Володимир,Мартинович,male,1994-12-05,Геолог,місто П'ятихатки,"проспект Коцюбинського, буд. 1 кв. 388, Снігурівка, 41701",017 508 15 53,maksymdanko@example.org
Гаврилець,Роман,Романович,male,1980-11-26,Доцент,село Добромиль,"шосе Західний 4-й, буд. 015, Глобине, 98632",+380 62 368-23-19,iaryna70@example.com
Абрагамовський,Леонтій,Миколайович,male,1954-07-01,Підприємець,місто Красноград,"вулиця Стеценко, буд. 48 кв. 46, Ясинувата, 50132",+380 15 351-15-26,lubenetsvalerii@example.org
Закусило,Іван,Михайлович,male,1943-12-27,Медик,селище Новий Калинів,"вулиця Михайлівська, буд. 3 кв. 14, Ясинувата, 17796",972 57 52,boleslavierchenko@example.org
Шелест,Соломія,Арсенівна,female,2005-10-31,Публіцист,селище Попасна,"набережна Лазурний 6-й, буд. 246, Прип'ять , 60651",038 392 91 48,dansemenchenko@example.com
Юхименко,Георгій,Васильович,male,2004-12-02,Круп'є,село Берестечко,"сквер Олександра Кутузакія, буд. 0 кв. 02, Білицьке, 11479",013 516 59 73,turkalovioletta@example.com
Гайдай,Єлисей,Павлович,male,1941-12-09,Педагог,селище Маріуполь,"сквер Кострова, буд. 5 кв. 84, Івано-Франківськ, 57555",054 025-73-53,panaszasukha@example.net
Байрак,Назар,Лукʼянович,male,2004-01-10,Палеонтолог,місто Хирів,"проспект Лесі Українки, буд. 27, Покров, 68738",+380 26 252-81-48,solomonsalii@example.com
Лесик,Розалія,Теодорівна,female,1968-10-21,Кур'єр,селище Путивль,"парк Академіка Богатського, буд. 69, Кам'янка (Черкаська область), 35576",009 953-59-63,ieremenkovadym@example.net
Зінченко,Едита,Данівна,female,1983-01-17,Локсмайстер,село Берислав,"провулок Чубаївський, буд. 5 кв. 36, Охтирка, 16904",+380 (59) 080-89-72,tokarmartyn@example.org
Бараник,Роксолана,Болеславівна,female,1996-02-14,Промисловець,селище Тараща,"вулиця Степана Разіна, буд. 606, Львів, 45643",029 310 38 52,ivan58@example.org
Проценко,Олесь,Вадимович,male,1965-03-10,Агроном,село Сорокине,"вулиця Іванова, буд. 5 кв. 68, Підгородне, 23179",+380 11 405-48-57,tkachenkorostyslav@example.net
Михайличенко,Еріка,Опанасівна,female,1993-03-11,Гірник,село Нетішин,"вулиця Кондрашина, буд. 89, Слов'янськ, 74931",067 428-85-81,czaruba@example.org
Шелест,Амвросій,Олегович,male,1981-09-18,Інженер,хутір Глиняни,"сквер Китобійний 2-й, буд. 878 кв. 25, Решетилівка, 27671",838 90 46,hupalobohuslava@example.org
Андрощук,Данило,Орхипович,male,1975-01-13,Географ,хутір Кременець,"площа Хутірська, буд. 65 кв. 901, Василівка , 63822",030 141-96-85,nishchak@example.net
Козак,Ірена,Леопольдівна,female,1984-07-19,Астронавт,село Деражня,"вулиця 411-ї батареї, буд. 787 кв. 091, Бібрка, 43903",+380 (50) 512-20-86,eduard20@example.net
Дубина,Віталій,Арсенович,male,1973-09-10,Бізнесмен,селище Звенигородка,"провулок Чорноморський 5-й, буд. 72 кв. 85, Малин, 17433",005 517 43 47,marianaholoborodko@example.com
Козаченко,Данна,Леопольдівна,female,1958-05-20,Провізор,місто Петрово-Красносілля,"провулок Мала, буд. 207 кв. 09, Радомишль, 79651",+380 47 324-50-41,adam41@example.net
Атаманчук,Йосип,Арсенович,male,2005-01-06,Музикант,хутір Лисичанськ,"вулиця Олександра Невського 4-й, буд. 427 кв. 390, Чистякове, 64091",+380 84 777 54 97,kolesnychenkomykhailo@example.com
Михайличенко,Іван,Богуславович,male,1970-05-13,Будник,хутір Карлівка,"вулиця Перемоги, буд. 874, Біла Церква, 42511",097 176-49-89,mykolaihaidamaka@example.net
Фесенко,Златослава,Ігорівна,female,1980-07-10,Історик,хутір Ужгород,"узвіз Дорожня, буд. 0 кв. 6, Маріуполь, 25735",293-95-98,huziimaksym@example.org
Цибуленко,Віолетта,Йосипівна,female,1955-03-16,Перекладач,село Ланівці,"провулок Житомирський 3-й, буд. 7 кв. 2, Ялта, 26373",916-12-91,amaliia39@example.org
Лубенець,Назар,Станіславович,male,1999-07-01,Промисловець,селище Саки ,"вулиця Кордонний, буд. 35 кв. 446, Батурин, 09172",+380 (18) 205-02-24,hlib17@example.com
Рябченко,Єлисавета,Максимівна,female,1964-01-22,Ювелір,хутір Нововолинськ,"провулок Учительський, буд. 54 кв. 0, Охтирка, 46721",591-76-29,nakulenko@example.net
Фурс,Михайлина,Трохимівна,female,1961-07-06,Архітектор,село Умань,"узвіз Академіка Глушка, буд. 607 кв. 744, Бровари, 79189",002 691-77-60,qatamanchuk@example.com
Лупій,Аліна,Устимівна,female,1952-09-21,Няня,місто Тараща,"вулиця Маршала Малиновського, буд. 81, Василівка , 58137",+380 (25) 261-43-43,alevtyn13@example.com
Шамрай,Сергій,Демидович,male,1965-01-15,Правник,село Гнівань,"провулок Депутатський, буд. 609 кв. 970, Прип'ять , 95059",+380 52 666 20 27,frants27@example.net
Орлик,Юстина,Єлисеївна,female,1959-02-27,Мовознавець,селище Перещепине,"сквер Центральна, буд. 863 кв. 516, Сколе, 82801",+380 89 860-70-94,wtytarenko@example.com
Жарко,Ольга,Михайлівна,female,1952-01-09,Математик,селище Червоносів,"провулок Тираспольське, буд. 274, Канів, 60666",+380 45 486 27 63,ysheremet@example.org
Корсун,Максим,Августинович,male,2004-06-02,Клоун,місто Гребінка,"проспект Новгородський 2-й, буд. 465, П'ятихатки, 07732",429 11 37,virapetliura@example.net
Фастенко,Лілія,Віталіївна,female,1992-02-06,Льотчик,село Жмеринка,"площа Змієнка Всеволода, буд. 2, Пустомити, 57863",+380 (85) 282-36-78,goliashheorhii@example.org
Гайдамака,Гліб,Охрімович,male,1963-07-28,Модель,селище Лутугине,"шосе Вчительської, 2-й, буд. 2, Городок, 60168",071 460-10-06,yhuk@example.com
Ященко,Розалія,Орхипівна,female,1989-09-18,Адвокат,хутір Щастя ,"набережна 4-та Суворовська, буд. 80 кв. 36, Залізне, 25144",000 541-37-66,viraarkhypenko@example.com
Бгиденко,Орест,Орхипович,male,2008-09-06,Інженер,хутір Тернівка ,"набережна Лінія 49-та, буд. 800, Географія Вільнянська, 45936",267-51-22,panasturkalo@example.com
Лавренко,Михайлина,Панасівна,female,1988-06-27,Каскадер,місто Арциз,"сквер Лінія 36-та, буд. 178 кв. 6, Барвінкове, 04543",321 66 90,varvara72@example.com
Їжакевич,Марʼяна,Русланівна,female,1954-02-22,Дерун,місто Городенка,"шосе Парашутний, буд. 35 кв. 2, Вінниця, 49338",385 44 32,adasomko@example.net
Яремчук,Трохим,Єфремович,male,1940-07-28,Графік,село Рожище,"узвіз Шептицікого, буд. 18, Рубіжне, 26724",+380 (83) 734-84-56,vtsiutsiura@example.org
Артимишина,Альбіна,Юхимівна,female,1939-06-19,Каскадер,селище Носівка,"шосе Фруктовий, буд. 3 кв. 414, Бобровиця, 85372",238-63-16,svitlanaandriienko@example.com
Ковпак,Леонід,Вікторович,male,1996-03-14,Локсмайстер,село Дебальцеве,"парк Дачний, буд. 9 кв. 66, Дніпрорудне, 42110",061 699-02-06,khudobiakalbina@example.net
Андрієвич,Аніта,Артемівна,female,1973-12-26,Хореограф,село Тиврів,"узвіз Промисловий, буд. 227, Комарно, 75142",026 169-77-27,ebatih@example.com
Шило,Розалія,Едуардівна,female,1947-11-13,Секретар,село Слов'янськ,"набережна Ціолковського, буд. 227, Севастополь, 40042",+380 (60) 663-57-50,jusyk@example.com
Атаманюк,Микита,Семенович,male,1963-09-29,Музикознавець,місто Хрустальний,"шосе Романтиків, буд. 294 кв. 5, Носівка, 07310",136-22-26,nadiiahavryliuk@example.com
Дашенко,Веніямин,Пилипович,male,1970-07-17,Реставратор,селище Гірник ,"шосе Віри Фігнер, буд. 153, Горлівка, 95183",747 32 66,dshukhevych@example.net
Короленко,Віктор,Степанович,male,1943-04-05,Електрик,селище Новомиргород,"вулиця Авіаційна, буд. 176, Хорол , 35783",811 20 47,dbazavluchenko@example.net
Шовкопляс,Павло,Андрійович,male,1989-06-28,Гінеколог,хутір Ківерці,"проспект Дачний 2-й, буд. 50, Бердичів, 62516",082 731 47 34,qvakhnii@example.com
Приймак,Марія,Ростиславівна,female,2000-02-10,Ді-джей,село Березне,"узвіз Олександра Невського 5-й, буд. 36, Антрацит , 54419",+380 84 855-17-20,arkhypenkodan@example.net
Дзиндра,Маруся,Ааронівна,female,1987-01-05,Круп'є,село Покровськ,"вулиця Висоцького, буд. 7, Вараш, 52764",852 02 48,klavdiiazhalilo@example.net
Онуфрієнко,Климент,Вадимович,male,1994-10-07,Золотар,селище Бершадь,"провулок Академіка Гаркавого, буд. 865 кв. 0, Нова Одеса, 66682",+380 71 978-18-93,volodymyr14@example.net
Дергач,Яків,Мартинович,male,1939-07-22,Програміст,селище Новодністровськ,"провулок Лесі Українки, буд. 866 кв. 348, Сарни, 42832",+380 25 145 28 59,emiliiadarahan@example.org
Їжак,Роксолана,Варфоломіївна,female,1956-01-17,Живописець,хутір Олександрія,"узвіз Шампанський, буд. 932 кв. 020, Немирів, 81340",+380 75 378-68-92,iaroslava08@example.org
Ніколюк,Марʼяна,Степанівна,female,1945-09-19,Золотар,хутір Перещепине,"сквер Фруктовий, буд. 79, Шостка, 10460",055 856-66-39,tereza79@example.org
Чаленко,Ярема,Несторович,male,1998-08-15,Будник,село Українськ,"проспект Балтський 7-й, буд. 58, Берислав, 82187",044 348-58-60,darynababiak@example.com
Пилипенко,Арсен,Прохорович,male,1976-12-17,Краєзнавець,хутір Заліщики,"сквер Монастирський, буд. 17, Бунге , 30195",+380 86 836-08-55,hlib47@example.net
Пилипенко,Роксолана,Несторівна,female,1948-02-17,Ювелір,село Курахове,"парк Ляпунова, буд. 313, Новоселиця, 47066",043 033-14-50,kybkaloarkadii@example.com
Ващенко,Герман,Алевтинович,male,1980-03-30,Скульптор,місто Каховка,"узвіз 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 3 кв. 52, Гайсин, 74319",+380 (41) 836-37-97,snizhanasheremeta@example.com
Опанасенко,Едита,Федорівна,female,1990-01-06,Няня,хутір Очаків,"вулиця Крутоярська, буд. 25, Судак , 51855",079 052-23-88,aaronfastenko@example.org
Івасюк,Сніжана,Георгіївна,female,2004-08-07,Пілот,село Докучаєвськ,"сквер Аеродромний 1-й, буд. 56, Дунаївці, 72232",+380 44 681 93 29,oskoryk@example.com
Ємець,Федір,Болеславович,male,1963-06-05,Клавішник,село Вознесенськ,"шосе Іванова 1-й, буд. 30, Белз, 48625",+380 (59) 707-54-55,kievtushok@example.org
Щербак,Лариса,Германівна,female,1948-04-08,Професор,селище Бахчисарай,"шосе Асташкіна, буд. 36 кв. 354, Прип'ять , 41598",+380 (19) 751-16-60,holykvenedykt@example.org
Даньків,Богданна,Ігнатівна,female,1980-10-09,Машиніст,хутір Калинівка ,"провулок Деревообробний 2-й, буд. 0, Первомайський , 39407",270-16-25,adam43@example.net
Зінчук,Устим,Валерійович,male,1999-07-05,Патологоанатом,село Старокостянтинів,"шосе Естафетна, буд. 69 кв. 9, Суми, 94008",068 42 00,hieroshenko@example.org
Шиян,Пріска,Петрівна,female,2001-06-20,Агроном,місто Заліщики,"проспект Мечникова, буд. 547 кв. 99, Нетішин, 50871",020 882-28-74,rmakohon@example.org
Дрозд,Лариса,Богуславівна,female,1986-06-02,Фермер,село Олександрія,"узвіз Високий, буд. 183 кв. 79, Бахмач, 30052",+380 71 124 51 32,ielysavetapavlychenko@example.org
Фартушняк,Мартин,Єфремович,male,1941-04-04,Кушнір,хутір Ірміно,"вулиця Французький, буд. 9, Борзна, 91093",+380 22 556-82-89,ieshchenkostefan@example.com
